Index,PROJECT,SURVTYP,REEF,DATE,STATION,TRANSECT,DIVER,DATATYP,SPECIES,NUMBER,SIZE,SIZE_TP,NO_TP
1,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CE.FLAV,1,10,,
2,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CE.FLAV,1,15,,
3,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CE.LORI,3,10,,
4,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.MARG,165,5,,
5,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.MARG,65,10,,
6,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,1,10,,
7,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,1,20,,
8,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PA.MULT,1,25,,
9,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CE.ARGU,1,35,,
10,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CE.UROD,3,20,,
11,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PA.ARCA,1,10,,
12,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,PA.FORS,1,10,,
13,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.SORD,1,10,,
14,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.SORD,2,25,,
15,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,AC.NIGR,1,15,,
16,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.XANT,1,10,,
17,PAL_2012,BLT,PAL_30,9/14/2012,FR3,A,SAS,QUAN,CH.XANT,5,15,,
