INDEX,CRUISE,SURVTYP,REEF,DATE,STATION,TRANSECT,DIVER,DATATYP,SPECIES,NUMBER,SIZE,area
1,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.LUNU,1,18,50
2,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.LUNUT,2,8,50
3,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.TRIF,1,8,50
4,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.MARG,6,3,50
5,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,PL.DICK,14,3,50
6,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,PL.DICK,2,8,50
7,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,PL.JOHN,1,3,50
8,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.SORD,3,3,50
9,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.SORD,4,8,50
10,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.SORD,2,13,50
11,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.SORD,1,18,50
12,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.SORD,4,23,100
13,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,SC.FREN,1,3,50
14,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,SC.FREN,1,18,50
15,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,SC.FREN,1,23,100
16,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CA.CARO,1,23,100
17,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,AC.NIGR,1,3,50
18,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,AC.NIGR,3,8,50
19,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,AC.NIGR,1,18,50
20,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,AC.LEUCOC,1,23,100
21,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CT.STRI,1,3,50
22,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CT.STRI,3,8,50
23,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CT.STRI,4,13,50
24,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CT.STRI,6,18,50
25,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,GO.VARI,6,3,50
26,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,LA.RUBR,1,3,50
27,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,TH.QUIN,3,3,50
28,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,HA.ORNA,1,3,50
29,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CH.VAND,1,3,50
30,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,CE.ARGU,1,28,100
31,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,EP.INSI,1,13,50
32,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SAS,QUAN,LA.UNIL,1,3,50
33,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CH.MARG,4,3,50
34,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,PL.DICK,5,3,50
35,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,ST.AURE,4,3,50
36,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CE.ARGU,1,18,50
37,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CH.SORD,1,23,100
38,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,SC.FREN,7,3,50
39,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,LU.GIBB,1,28,100
40,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,AC.NIGR,1,13,50
41,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,AC.NIGR,1,18,50
42,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,AC.LEUCOC,1,23,100
43,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CT.MARG,1,13,50
44,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CT.STRI,3,13,50
45,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CT.STRI,6,18,50
46,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CT.STRI,1,23,100
47,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,GO.VARI,6,3,50
48,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,GO.VARI,1,23,100
49,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,TH.QUIN,4,3,50
50,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,TH.QUIN,5,8,50
51,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,TH.QUIN,1,13,50
52,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,PS.OCTO,1,3,50
53,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,CI.EXQU,1,3,50
54,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,B,SAS,QUAN,HA.ORNA,4,3,50
55,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.LUNU,1,13,50
56,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.ACAR,2,3,50
57,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.MARG,7,3,50
58,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.MARG,1,8,50
59,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,PL.DICK,11,8,50
60,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,PL.JOHN,1,8,50
61,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,PL.JOHN,4,3,50
62,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,PA.MULT,1,13,50
63,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CE.ARGU,1,13,50
64,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CE.ARGU,1,18,50
65,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,EP.HOWL,1,33,100
66,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.SORD,2,18,50
67,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.SORD,1,23,100
68,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CH.SORD,1,13,50
69,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,SC.FREN,7,3,50
70,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,SC.FREN,1,13,50
71,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,MO.GRAN,1,28,100
72,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,AC.NIGR,3,8,50
73,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,AC.NIGR,1,13,50
74,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,AC.LINE,1,18,50
75,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CT.STRI,4,23,100
76,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CT.STRI,5,13,50
77,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,CT.STRI,5,18,50
78,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,NA.LITU,2,23,100
79,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,GO.VARI,4,3,50
80,PAL_2008,BLT,PAL_RT,9/23/2008,RT1,A,SLH,QUAN,LA.DIMI,1,3,50
