INDEX,CRUISE,SURVTYP,REEF,DATE,STATION,TRANSECT,DIVER,DATATYP,SPECIES,NUMBER,SIZE,area
1,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CE.FLAV,3,8,50
2,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CE.LORI,3,8,50
3,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.AURI,1,18,50
4,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.ACAR,28,3,50
5,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.MARG,40,3,50
6,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.VAND,65,3,50
7,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PL.DICK,2,8,50
8,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PL.DICK,1,3,50
9,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PL.JOHN,1,8,50
10,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PL.JOHN,4,3,50
11,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,ST.AURE,1,8,50
12,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PS.OLIV,10,8,50
13,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PS.OLIV,60,3,50
14,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PS.DISP,5,3,50
15,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CE.ARGU,1,28,100
16,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CE.UROD,1,13,50
17,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PA.ARCA,1,8,50
18,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PA.ARCA,1,3,50
19,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PA.FORS,1,13,50
20,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.MICR,1,43,100
21,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CH.SORD,1,28,100
22,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,SC.FREN,1,28,100
23,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,SC.RUBR,1,38,100
24,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,LU.BOHA,2,33,100
25,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,MY.AMAE,1,18,50
26,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,AC.NIGR,1,23,100
27,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,AC.NIGR,2,13,50
28,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,AC.NIGR,3,18,50
29,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,AC.NIGR,1,8,50
30,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,AC.XANT,1,28,100
31,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CT.MARG,1,23,100
32,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CT.MARG,1,18,50
33,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CT.CYAN,1,13,50
34,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CT.CYAN,1,18,50
35,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CT.STRI,1,18,50
36,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,ME.NIGE,1,23,100
37,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,GO.VARI,2,3,50
38,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,GO.VARI,2,8,50
39,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,HA.ORNA,1,8,50
40,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,HA.ORNA,1,3,50
41,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,LA.DIMI,1,8,50
42,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,LA.RUBR,1,3,50
43,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,TH.LUTE,1,3,50
44,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,TH.AMBL,1,3,50
45,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,LE.TAPE,2,3,50
46,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,HE.FASC,1,18,50
47,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,CIRR.SP,1,3,50
48,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,KY.CINE,7,28,100
49,PAL_2009,BLT,PAL_FR,9/24/2009,3,A,SLH,QUAN,PE.OUAL,1,18,50
50,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CE.LORI,1,8,50
51,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.ACAR,8,3,50
52,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.MARG,19,3,50
53,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.MARG,12,8,50
54,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.VAND,77,3,50
55,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PO.COEL,3,3,50
56,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PL.JOHN,5,3,50
57,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PL.JOHN,2,8,50
58,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,ST.AURE,3,8,50
59,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.XANT,2,8,50
60,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PA.INSU,1,18,50
61,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PA.INSU,1,13,50
62,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PS.OLIV,36,3,50
63,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PS.OLIV,10,8,50
64,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CE.ARGU,2,28,100
65,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CE.ARGU,1,23,100
66,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CE.UROD,1,18,50
67,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CE.UROD,1,13,50
68,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PA.ARCA,1,3,50
69,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,PA.HEMI,1,18,50
70,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.MICR,1,43,100
71,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.SORD,1,28,100
72,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.SORD,2,23,100
73,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,CH.SORD,1,18,50
74,PAL_2009,BLT,PAL_FR,9/24/2009,3,B,SLH,QUAN,HI.LONG,1,28,100
