NewName,Genus,Species,Trophic,LTLRat,a_cm,b_cm
AC.ACHI,Acanthurus,achilles,He,0.83,0.081544127,2.87
AC.ACNI,Acanthurus,achilles_x_nigricans,He,0.83,0.081544127,2.87
AC.ALBI,Acanthurus,albipectoralis,ZP,0.93,0.02224,3.00795
AC.BLOC,Acanthurus,blochii,De,0.79,0.02,3
AC.GUTT,Acanthurus,guttatus,He,0.81,0.052899635,3.08
AC.LEUCOC,Acanthurus,leucochilus,DeZP,0.82,0.01678,3.16772
AC.LINE,Acanthurus,lineatus,He,0.81,0.0251,3.03
AC.MACU,Acanthurus,maculiceps,HeZP,0.86,0.02673,2.98449
AC.MATA,Acanthurus,mata,He,0.917431193,0.02224,3.00795
AC.NIGC,Acanthurus,nigricauda,HeZP,0.82,0.01678,3.16772
AC.NIGF,Acanthurus,nigrofuscus,He,0.76,0.073244071,2.85
AC.NIGO,Acanthurus,nigroris,He,0.76,0.073244071,2.85
AC.NIGR,Acanthurus,nigricans,He,0.73,0.081544127,2.87
AC.OLIV,Acanthurus,olivaceus,De,0.75,0.040314123,3.05
AC.PYRO,Acanthurus,pyroferus,He,0.93,0.02803,2.98288
AC.THOM,Acanthurus,thompsoni,ZP,0.75,0.073244071,2.85
AC.TRIO,Acanthurus,triostegus,He,0.8,0.015557474,3.45
AC.XANT,Acanthurus,xanthopterus,De,0.74,0.02768,3
ACAN.SP,Acanthurus,sp,He,0.8,0.02803,2.98288
AE.NARI,Aetobatos,narinari,BI,1,0.0059,3.13
AL.SCRI,Aluterus,scripta,Om,1,0.0022,3
AM.KATH,Amblyeleotris,katherine,BI,1,0.0107,3
AM.SCOP,Amanses,scopas,Om,0.85,0.016413702,3.26
AN.CAER,Anampses,caeruleopunctatus,BI,0.82,0.019391184,3.19
AN.MELA,Anampses,melanurus,BI,1,0.02261,2.79271
AN.MELE,Anampses,meleagris,BI,1,0.02261,2.79271
AN.TWIS,Anampses,twistii,BI,1,0.02261,2.79271
ANAM.SP,Anampses,sp,BI,1,0.02261,2.79271
ANTE.SP,Antennarius,sp,Pi,1,0.02357,3.29261
AP.FURC,Aphareus,furca,Pi,0.82,0.014063207,2.96
AP.KALL,Apogon,kallopterus,BI,0.86,0.030377572,3.03
AP.VIRE,Aprion,virescens,AP,0.81,0.014063207,2.96
AP.XANT,Apolemichthys,xanthopunctatus,Om,0.82,0.115450417,2.78
APOG.SP,apogonid,sp,ZP,0.95,0.01545,3.12126
AR.MELE,Arothron,meleagris,BI,0.86,0.001374521,4.36
AR.STEL,Arothron,stellatus,BI,1,0.0915,2.67239
AS.DUSS,Aspidontus,dussumieri,ZP,1,0.00585,3.23093
AS.TAEN,Aspidontus,taeniatus,ZP,1,0.00585,3.23093
AU.CHIN,Aulostomus,chinensis,AP,0.95,0.000394574,3.45
BA.UNDU,Balistapus,undulatus,BI,0.87,0.05983841,2.86
BA.VIRI,Balistoides,viridescens,BI,1,0.02442,3.01828
BO.AXIL,Bodianus,axillaris,BI,1,0.01082,3.17305
BO.LOXO,Bodianus,loxozonus,BI,0.96,0.01082,3.17305
BO.MANC,Bothus,mancus,Pi,0.82,0.033850862,2.8
BO.MURI,Bolbometopon,muricatum,BI,1,0.02469,2.95548
BO.PROG,Bodianus,prognathus,BI,1,0.01082,3.17305
CA.AMBL,Carcharhinus,amblyrhynchos,AP,1,0.008796625,3.05
CA.AMBO,Canthigaster,amboinensis,BI,0.83,0.425605137,2.21
CA.CARO,Calotomus,carolinus,He,0.8,0.016885654,3.29
CA.DUME,Cantherhines,dumerilii,Om,0.85,0.016413702,3.26
CA.FERD,Carangoides,ferdau,AP,0.83,0.621489956,2.16
CA.IGNO,Caranx,ignobilis,AP,0.95,0.029876955,2.92
CA.LUGU,Caranx,lugubris,AP,0.82,0.193306871,2.5
